id,meanptdt_CS,meanptdt_US,meandt_CS,meandt_US,gazeidx,backgroundgaze,bkgd,STGT_ter
194,0.80581,0.08151,2495.4,221,0.7243,0.11268,0.172855,ST
195,0.69219,0.04136,2211,120.6,0.65083,0.26645,0.39309,ST
196,0.11532,0.1733,387.2,582.7,-0.05798,0.71138,0.433775,GT
197,0.83688,0.09712,1238.9,209.1,0.73976,0.066,0.0965,ST
198,0.095,0.27836,186.8,659.9,-0.18336,0.62664,0.40456,GT
199,0.38377,0.09469,1207.3,308.5,0.28908,0.52154,0.370285,IM
200,0.02441,0.90098,80.1,3262.3,-0.87657,0.07461,0.1118,GT
202,0.09968,0.08918,188.3,229.1,0.0105,0.81114,0.70971,GT
203,0.28634,0.13481,1000.4,466.6,0.15153,0.57885,0.61381,IM
205,0.7054,0,2539.6,0,0.7054,0.2946,0.35921,ST
206,0.92481,0,3588.2,0,0.92481,0.07519,0.065365,ST
207,0.96153,0.00772,3209.8,27.8,0.95381,0.03075,0.023205,ST
208,0.44181,0.55257,1594.7,1870.2,-0.11076,0.00562,0.01626,GT
210,0.68031,0.12936,2365.9,461.2,0.55095,0.19033,0.265575,ST
211,0.41701,0.16919,1538.8,593.3,0.24782,0.4138,0.384655,IM
212,0.59768,0.03192,1826.9,110.2,0.56576,0.3704,0.38078,ST
213,0.17685,0.08754,319.1,108.2,0.08931,0.73561,0.766905,GT
214,0,0.7541,0,1543.1,-0.7541,0.2459,0.214475,GT
215,0,0.22497,0,605.5,-0.22497,0.77503,0.65787,GT
216,0.4437,0.49473,1653.9,1861.7,-0.05103,0.06157,0.09908,GT
217,0.13425,0.65362,514.4,2360.5,-0.51937,0.21213,0.13684,GT
218,0.06263,0.12809,221.9,239,-0.06546,0.80928,0.78702,GT
220,0.97959,0,3885.4,0,0.97959,0.02041,0.06506,ST
221,0.56419,0.17166,2169.8,643.9,0.39253,0.26415,0.382885,IM
222,0.33179,0.59992,1269.5,2206.2,-0.26813,0.06829,0.15501,GT
223,0.88325,0,2721.4,0,0.88325,0.11675,0.08058,ST
224,0.32747,0.01841,1151.8,63,0.30906,0.65412,0.431675,IM
225,0.99915,0,3748,0,0.99915,0.00085,0.01262,ST
226,1,0,3742.4,0,1,0,0.11366,ST
227,0.74519,0.16543,2789.4,629.4,0.57976,0.08938,0.07182,ST
228,0,0.53046,0,2020.6,-0.53046,0.46954,0.680315,GT
229,0.86347,0.00968,3197.3,36.1,0.85379,0.12685,0.16615,ST
230,0.94887,0,3540.2,0,0.94887,0.05113,0.076925,ST
231,0.53277,0.05438,2008.4,198.9,0.47839,0.41285,0.251975,IM
