"id","stimulus","congruent","incongruent","response_idx","version"
"301","filler",16,16,0,1
"301","nowin",56,67,-0.0894308943089431,1
"301","win",53,66,-0.109243697478992,1
"307","filler",36,27,0.142857142857143,1
"307","nowin",130,74,0.274509803921569,1
"307","win",97,102,-0.0251256281407035,1
"313","filler",13,17,-0.133333333333333,1
"313","nowin",83,90,-0.0404624277456647,1
"313","win",70,80,-0.0666666666666667,1
"317","filler",23,23,0,1
"317","nowin",76,71,0.0340136054421769,1
"317","win",77,82,-0.0314465408805031,1
"321","filler",32,12,0.454545454545455,1
"321","nowin",121,87,0.163461538461538,1
"321","win",126,66,0.3125,1
"323","filler",47,29,0.236842105263158,1
"323","nowin",127,111,0.0672268907563025,1
"323","win",127,106,0.0901287553648069,1
"330","filler",26,24,0.04,1
"330","nowin",128,98,0.132743362831858,1
"330","win",138,94,0.189655172413793,1
"332","filler",32,45,-0.168831168831169,1
"332","nowin",131,110,0.0871369294605809,1
"332","win",166,74,0.383333333333333,1
"336","filler",29,30,-0.0169491525423729,1
"336","nowin",113,74,0.20855614973262,1
"336","win",71,88,-0.106918238993711,1
"339","filler",33,34,-0.0149253731343284,1
"339","nowin",136,114,0.088,1
"339","win",121,119,0.00833333333333333,1
"341","filler",40,27,0.194029850746269,1
"341","nowin",110,71,0.215469613259669,1
"341","win",96,88,0.0434782608695652,1
"347","filler",43,25,0.264705882352941,1
"347","nowin",131,85,0.212962962962963,1
"347","win",151,78,0.318777292576419,1
"348","filler",39,38,0.012987012987013,1
"348","nowin",116,150,-0.12781954887218,1
"348","win",132,134,-0.0075187969924812,1
"350","filler",41,50,-0.0989010989010989,1
"350","nowin",176,111,0.226480836236934,1
"350","win",156,127,0.102473498233216,1
"353","filler",56,24,0.4,1
"353","nowin",146,115,0.118773946360153,1
"353","win",144,112,0.125,1
"305","filler",12,69,-0.703703703703704,2
"305","nowin",139,156,-0.0576271186440678,2
"305","win",155,139,0.054421768707483,2
"309","filler",11,11,0,2
"309","nowin",42,52,-0.106382978723404,2
"309","win",88,30,0.491525423728814,2
"310","filler",44,48,-0.0434782608695652,2
"310","nowin",104,126,-0.0956521739130435,2
"310","win",135,127,0.0305343511450382,2
"331","filler",15,20,-0.142857142857143,2
"331","nowin",87,109,-0.112244897959184,2
"331","win",93,67,0.1625,2
"333","filler",34,35,-0.0144927536231884,2
"333","nowin",87,71,0.10126582278481,2
"333","win",123,126,-0.0120481927710843,2
"335","filler",23,16,0.179487179487179,2
"335","nowin",48,68,-0.172413793103448,2
"335","win",51,82,-0.233082706766917,2
"337","filler",37,42,-0.0632911392405063,2
"337","nowin",218,70,0.513888888888889,2
"337","win",145,148,-0.0102389078498294,2
"338","filler",38,23,0.245901639344262,2
"338","nowin",116,97,0.0892018779342723,2
"338","win",108,93,0.0746268656716418,2
"340","filler",44,45,-0.0112359550561798,2
"340","nowin",104,181,-0.270175438596491,2
"340","win",115,162,-0.169675090252708,2
"342","filler",27,19,0.173913043478261,2
"342","nowin",80,74,0.038961038961039,2
"342","win",68,69,-0.0072992700729927,2
"343","filler",36,47,-0.132530120481928,2
"343","nowin",156,127,0.102473498233216,2
"343","win",129,152,-0.0818505338078292,2
"345","filler",16,17,-0.0303030303030303,2
"345","nowin",57,56,0.00884955752212389,2
"345","win",56,65,-0.0743801652892562,2
"349","filler",27,31,-0.0689655172413793,2
"349","nowin",87,77,0.0609756097560976,2
"349","win",90,84,0.0344827586206897,2
"351","filler",17,29,-0.260869565217391,2
"351","nowin",110,76,0.182795698924731,2
"351","win",100,105,-0.024390243902439,2
"302","filler",59,21,0.475,3
"302","nowin",174,88,0.32824427480916,3
"302","win",150,119,0.115241635687732,3
"303","filler",20,17,0.0810810810810811,3
"303","nowin",45,39,0.0714285714285714,3
"303","win",74,60,0.104477611940299,3
"304","filler",36,47,-0.132530120481928,3
"304","nowin",134,152,-0.0629370629370629,3
"304","win",134,154,-0.0694444444444444,3
"306","filler",40,35,0.0666666666666667,3
"306","nowin",185,88,0.355311355311355,3
"306","win",192,78,0.422222222222222,3
"311","filler",44,30,0.189189189189189,3
"311","nowin",140,94,0.196581196581197,3
"311","win",126,124,0.008,3
"315","filler",11,8,0.157894736842105,3
"315","nowin",29,21,0.16,3
"315","win",39,30,0.130434782608696,3
"316","filler",22,62,-0.476190476190476,3
"316","nowin",135,121,0.0546875,3
"316","win",183,80,0.391634980988593,3
"318","filler",41,35,0.0789473684210526,3
"318","nowin",127,104,0.0995670995670996,3
"318","win",90,149,-0.246861924686192,3
"320","filler",31,42,-0.150684931506849,3
"320","nowin",137,101,0.151260504201681,3
"320","win",152,77,0.327510917030568,3
"325","filler",27,23,0.08,3
"325","nowin",173,118,0.189003436426117,3
"325","win",131,153,-0.0774647887323944,3
"328","filler",41,45,-0.0465116279069767,3
"328","nowin",97,164,-0.256704980842912,3
"328","win",134,123,0.0428015564202335,3
"352","filler",66,10,0.736842105263158,3
"352","nowin",87,172,-0.328185328185328,3
"352","win",106,165,-0.217712177121771,3
"354","filler",38,27,0.169230769230769,3
"354","nowin",158,91,0.269076305220884,3
"354","win",86,139,-0.235555555555556,3
"356","filler",60,31,0.318681318681319,3
"356","nowin",160,91,0.274900398406374,3
"356","win",152,78,0.321739130434783,3
"308","filler",45,26,0.267605633802817,4
"308","nowin",129,110,0.0794979079497908,4
"308","win",115,127,-0.0495867768595041,4
"312","filler",39,32,0.0985915492957746,4
"312","nowin",128,119,0.0364372469635627,4
"312","win",121,118,0.0125523012552301,4
"314","filler",26,40,-0.212121212121212,4
"314","nowin",140,86,0.238938053097345,4
"314","win",120,115,0.0212765957446809,4
"319","filler",51,30,0.259259259259259,4
"319","nowin",166,118,0.169014084507042,4
"319","win",194,113,0.263843648208469,4
"324","filler",0,41,-1,4
"324","nowin",184,52,0.559322033898305,4
"324","win",178,86,0.348484848484849,4
"326","filler",35,27,0.129032258064516,4
"326","nowin",129,91,0.172727272727273,4
"326","win",133,94,0.171806167400881,4
"329","filler",30,41,-0.154929577464789,4
"329","nowin",129,121,0.032,4
"329","win",162,94,0.265625,4
"334","filler",31,17,0.291666666666667,4
"334","nowin",87,85,0.0116279069767442,4
"334","win",73,79,-0.0394736842105263,4
"344","filler",21,9,0.4,4
"344","nowin",29,33,-0.0645161290322581,4
"344","win",40,18,0.379310344827586,4
"346","filler",29,51,-0.275,4
"346","nowin",159,93,0.261904761904762,4
"346","win",88,148,-0.254237288135593,4
"357","filler",18,26,-0.181818181818182,4
"357","nowin",108,118,-0.0442477876106195,4
"357","win",118,113,0.0216450216450216,4
"358","filler",20,46,-0.393939393939394,4
"358","nowin",79,125,-0.225490196078431,4
"358","win",150,75,0.333333333333333,4
"359","filler",29,26,0.0545454545454545,4
"359","nowin",105,83,0.117021276595745,4
"359","win",63,138,-0.373134328358209,4
