cued,subj,EVR,Trl,Rep,hiPchoice,hiprob,lomag,loprob,himag,won,RT
1,101,-0.9091,74,9,0,0.6,1,0.4,4,0,3418.14
1,101,-0.7273,69,9,0,0.7,1,0.3,5,0,5480.26
1,101,-0.5,91,9,0,0.6,2,0.4,5,0,4689.55
1,101,-0.25,95,9,0,0.7,1,0.3,3,0,4715.1
1,101,-0.1053,85,9,1,0.6,3,0.4,5,1,6584.1
1,101,0.1818,81,9,0,0.6,4,0.4,5,0,2128.32
1,101,0.4348,61,9,1,0.7,2,0.3,3,1,2853.84
1,101,0.5455,96,9,1,0.7,3,0.3,4,0,6198.23
1,101,0.6667,83,9,1,0.8,1,0.2,2,1,1261.34
1,101,0.9091,92,9,1,0.8,2,0.2,3,1,4909.78
1,101,-0.9091,90,10,0,0.6,1,0.4,4,1,4177.13
1,101,-0.7273,76,10,0,0.7,1,0.3,5,0,1224.52
1,101,-0.5,93,10,0,0.6,2,0.4,5,0,3871.69
1,101,-0.25,97,10,0,0.7,1,0.3,3,0,7597.44
1,101,-0.1053,86,10,0,0.6,3,0.4,5,0,5855.54
1,101,0.1818,99,10,1,0.6,4,0.4,5,0,7810.86
1,101,0.4348,62,10,1,0.7,2,0.3,3,0,9533.35
1,101,0.5455,100,10,1,0.7,3,0.3,4,1,12865.51
1,101,0.6667,89,10,1,0.8,1,0.2,2,1,12142
1,101,0.9091,98,10,1,0.8,2,0.2,3,1,4613.67
1,104,-0.9091,2,1,0,0.6,1,0.4,4,1,2910.39
1,104,-0.7273,5,1,0,0.7,1,0.3,5,0,1711.45
1,104,-0.5,6,1,1,0.6,2,0.4,5,0,1793.44
1,104,-0.25,18,1,0,0.7,1,0.3,3,0,1502.95
1,104,-0.1053,17,1,0,0.6,3,0.4,5,0,1872.52
1,104,0.1818,8,1,0,0.6,4,0.4,5,1,1459.03
1,104,0.4348,3,1,1,0.7,2,0.3,3,1,3138.69
1,104,0.5455,9,1,1,0.7,3,0.3,4,1,1152.54
1,104,0.6667,15,1,1,0.8,1,0.2,2,1,1731.41
1,104,0.9091,1,1,1,0.8,2,0.2,3,1,5873.46
1,104,-0.9091,29,2,0,0.6,1,0.4,4,0,1101.04
1,104,-0.7273,7,2,0,0.7,1,0.3,5,0,1571.9
1,104,-0.5,14,2,0,0.6,2,0.4,5,0,1468.46
1,104,-0.25,27,2,0,0.7,1,0.3,3,1,1228.54
1,104,-0.1053,34,2,0,0.6,3,0.4,5,1,1191.4
1,104,0.1818,11,2,1,0.6,4,0.4,5,1,1522.56
1,104,0.4348,10,2,1,0.7,2,0.3,3,1,1545.08
1,104,0.5455,20,2,1,0.7,3,0.3,4,0,1487.64
1,104,0.6667,24,2,1,0.8,1,0.2,2,1,1486.76
1,104,0.9091,4,2,1,0.8,2,0.2,3,1,1684.61
1,104,-0.9091,32,3,0,0.6,1,0.4,4,1,1544.49
1,104,-0.7273,19,3,0,0.7,1,0.3,5,1,1057.63
1,104,-0.5,30,3,0,0.6,2,0.4,5,0,1510.29
1,104,-0.25,40,3,0,0.7,1,0.3,3,0,2735.23
1,104,-0.1053,36,3,0,0.6,3,0.4,5,0,1771.63
1,104,0.1818,13,3,0,0.6,4,0.4,5,1,2049.1
1,104,0.4348,12,3,1,0.7,2,0.3,3,0,1283.89
1,104,0.5455,26,3,1,0.7,3,0.3,4,0,1170.96
1,104,0.6667,38,3,1,0.8,1,0.2,2,1,1583.85
1,104,0.9091,35,3,1,0.8,2,0.2,3,1,1454.77
1,104,-0.9091,39,4,0,0.6,1,0.4,4,1,1800.27
1,104,-0.7273,31,4,1,0.7,1,0.3,5,1,1442.47
1,104,-0.5,44,4,0,0.6,2,0.4,5,0,1699.38
1,104,-0.25,43,4,1,0.7,1,0.3,3,1,1530.06
1,104,-0.1053,57,4,0,0.6,3,0.4,5,1,1217.96
1,104,0.1818,16,4,1,0.6,4,0.4,5,1,1043.82
1,104,0.4348,21,4,1,0.7,2,0.3,3,1,2869.54
1,104,0.5455,33,4,1,0.7,3,0.3,4,1,1089.67
1,104,0.6667,48,4,1,0.8,1,0.2,2,1,1171.39
1,104,0.9091,37,4,1,0.8,2,0.2,3,1,724.9
1,104,-0.9091,49,5,0,0.6,1,0.4,4,0,1644.13
1,104,-0.7273,52,5,1,0.7,1,0.3,5,1,893.61
1,104,-0.5,51,5,0,0.6,2,0.4,5,0,1375.46
1,104,-0.25,45,5,0,0.7,1,0.3,3,0,1358.41
1,104,-0.1053,70,5,1,0.6,3,0.4,5,1,1535.33
1,104,0.1818,22,5,0,0.6,4,0.4,5,0,4129.88
1,104,0.4348,23,5,1,0.7,2,0.3,3,1,1564.4
1,104,0.5455,46,5,1,0.7,3,0.3,4,0,968.48
1,104,0.6667,64,5,1,0.8,1,0.2,2,0,1375.41
1,104,0.9091,41,5,1,0.8,2,0.2,3,1,1593.82
1,104,-0.9091,50,6,1,0.6,1,0.4,4,1,1250.57
1,104,-0.7273,54,6,0,0.7,1,0.3,5,0,923.34
1,104,-0.5,60,6,0,0.6,2,0.4,5,0,997.33
