cued,subj,EVR,Trl,Rep,hiPchoice,hiprob,lomag,loprob,himag
1,302,-0.5263,2,1,1,0.7,1,0.3,4
1,302,-0.2857,11,1,1,0.6,2,0.4,4
1,302,0,9,1,1,0.6,2,0.4,3
1,302,0.3333,15,1,1,0.7,3,0.3,5
1,302,0.4615,5,1,1,0.8,2,0.2,5
1,302,0.6667,21,1,1,0.8,1,0.2,2
1,302,0.8235,16,1,1,0.8,3,0.2,5
1,302,1,1,1,1,0.8,3,0.2,4
1,302,-0.9091,10,2,0,0.6,1,0.4,4
1,302,-0.7273,25,2,0,0.7,1,0.3,5
1,302,-0.5263,4,2,1,0.7,1,0.3,4
1,302,-0.2857,13,2,1,0.6,2,0.4,4
1,302,0,18,2,1,0.6,2,0.4,3
1,302,0.3333,26,2,1,0.7,3,0.3,5
1,302,0.4615,14,2,1,0.8,2,0.2,5
1,302,0.6667,45,2,1,0.8,1,0.2,2
1,302,0.8235,17,2,1,0.8,3,0.2,5
1,302,1,6,2,1,0.8,3,0.2,4
1,302,-0.9091,12,3,0,0.6,1,0.4,4
1,302,-0.7273,30,3,0,0.7,1,0.3,5
1,302,-0.5263,23,3,0,0.7,1,0.3,4
1,302,-0.2857,20,3,0,0.6,2,0.4,4
1,302,0,22,3,1,0.6,2,0.4,3
1,302,0.3333,31,3,1,0.7,3,0.3,5
1,302,0.4615,36,3,1,0.8,2,0.2,5
1,302,0.6667,61,3,1,0.8,1,0.2,2
1,302,0.8235,19,3,1,0.8,3,0.2,5
1,302,1,8,3,1,0.8,3,0.2,4
1,302,-0.9091,29,4,0,0.6,1,0.4,4
1,302,-0.7273,33,4,1,0.7,1,0.3,5
1,302,-0.5263,24,4,1,0.7,1,0.3,4
1,302,-0.2857,49,4,1,0.6,2,0.4,4
1,302,0,32,4,1,0.6,2,0.4,3
1,302,0.3333,40,4,1,0.7,3,0.3,5
1,302,0.4615,37,4,1,0.8,2,0.2,5
