RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_LABEL,fractal,half,IA_DWELL_TIME,IA_DWELL_TIME_%
305,13,US,nowin_fractal.jpg,1,0,0
305,14,CS,nowin_fractal.jpg,1,403,0.1363
305,14,US,nowin_fractal.jpg,1,30,0.0101
305,15,CS,nowin_fractal.jpg,1,2992,0.8435
305,15,US,nowin_fractal.jpg,1,0,0
305,16,CS,win_fractal.jpg,1,2207,0.6191
305,16,US,win_fractal.jpg,1,751,0.2107
305,17,CS,win_fractal.jpg,1,2638,0.9418
305,17,US,win_fractal.jpg,1,0,0
305,18,CS,win_fractal.jpg,1,3643,1
305,18,US,win_fractal.jpg,1,0,0
305,19,CS,nowin_fractal.jpg,1,3149,1
305,19,US,nowin_fractal.jpg,1,0,0
305,20,CS,nowin_fractal.jpg,1,2531,0.8331
305,20,US,nowin_fractal.jpg,1,299,0.0984
305,21,CS,nowin_fractal.jpg,2,3704,1
305,21,US,nowin_fractal.jpg,2,0,0
305,22,CS,nowin_fractal.jpg,2,3258,1
305,22,US,nowin_fractal.jpg,2,0,0
305,23,CS,win_fractal.jpg,2,2161,0.7242
305,23,US,win_fractal.jpg,2,433,0.1451
305,24,CS,nowin_fractal.jpg,2,2691,1
305,24,US,nowin_fractal.jpg,2,0,0
305,25,CS,nowin_fractal.jpg,2,3306,1
305,25,US,nowin_fractal.jpg,2,0,0
305,26,CS,win_fractal.jpg,2,3775,1
305,26,US,win_fractal.jpg,2,0,0
305,27,CS,win_fractal.jpg,2,3367,0.9748
305,27,US,win_fractal.jpg,2,0,0
305,28,CS,nowin_fractal.jpg,2,2535,0.8614
305,28,US,nowin_fractal.jpg,2,0,0
305,29,CS,win_fractal.jpg,2,3565,1
305,29,US,win_fractal.jpg,2,0,0
305,30,CS,nowin_fractal.jpg,2,2470,0.7373
305,30,US,nowin_fractal.jpg,2,471,0.1406
305,31,CS,nowin_fractal.jpg,2,1987,0.6256
305,31,US,nowin_fractal.jpg,2,562,0.177
305,32,CS,win_fractal.jpg,2,2563,0.7538
305,32,US,win_fractal.jpg,2,837,0.2462
305,33,CS,win_fractal.jpg,2,3088,0.8505
305,33,US,win_fractal.jpg,2,0,0
305,34,CS,win_fractal.jpg,2,3758,1
305,34,US,win_fractal.jpg,2,0,0
305,35,CS,nowin_fractal.jpg,2,2121,0.653
305,35,US,nowin_fractal.jpg,2,846,0.2605
305,36,CS,win_fractal.jpg,2,2491,0.7387
305,36,US,win_fractal.jpg,2,0,0
305,37,CS,win_fractal.jpg,2,3404,0.9613
305,37,US,win_fractal.jpg,2,0,0
305,38,CS,win_fractal.jpg,2,2792,0.9012
305,38,US,win_fractal.jpg,2,306,0.0988
305,39,CS,nowin_fractal.jpg,2,3202,0.9682
305,39,US,nowin_fractal.jpg,2,0,0
305,40,CS,nowin_fractal.jpg,2,3460,0.8815
305,40,US,nowin_fractal.jpg,2,0,0
307,1,CS,nowin_fractal.jpg,1,1563,0.5353
307,1,US,nowin_fractal.jpg,1,532,0.1822
307,2,CS,win_fractal.jpg,1,1067,0.3681
307,2,US,win_fractal.jpg,1,411,0.1418
307,3,CS,win_fractal.jpg,1,2140,0.6459
307,3,US,win_fractal.jpg,1,344,0.1038
307,4,CS,win_fractal.jpg,1,1600,0.5575
307,4,US,win_fractal.jpg,1,952,0.3317
307,5,CS,win_fractal.jpg,1,1527,0.4967
307,5,US,win_fractal.jpg,1,911,0.2964
307,6,CS,nowin_fractal.jpg,1,0,0
307,6,US,nowin_fractal.jpg,1,0,0
307,7,CS,nowin_fractal.jpg,1,381,0.1353
307,7,US,nowin_fractal.jpg,1,0,0
307,8,CS,nowin_fractal.jpg,1,0,0
307,8,US,nowin_fractal.jpg,1,0,0
307,9,CS,win_fractal.jpg,1,226,0.0696
307,9,US,win_fractal.jpg,1,0,0
307,10,CS,win_fractal.jpg,1,0,0
307,10,US,win_fractal.jpg,1,0,0
307,11,CS,nowin_fractal.jpg,1,246,0.0783
307,11,US,nowin_fractal.jpg,1,415,0.132
307,12,CS,win_fractal.jpg,1,0,0
307,12,US,win_fractal.jpg,1,0,0
307,13,CS,nowin_fractal.jpg,1,0,0
307,13,US,nowin_fractal.jpg,1,0,0
307,14,CS,nowin_fractal.jpg,1,0,0
307,14,US,nowin_fractal.jpg,1,35,0.0132
307,15,CS,nowin_fractal.jpg,1,0,0
307,15,US,nowin_fractal.jpg,1,35,0.0147
307,16,CS,nowin_fractal.jpg,1,1096,0.34
307,16,US,nowin_fractal.jpg,1,1013,0.3142
307,17,CS,nowin_fractal.jpg,1,0,0
307,17,US,nowin_fractal.jpg,1,0,0
307,18,CS,win_fractal.jpg,1,1635,0.4822
307,18,US,win_fractal.jpg,1,680,0.2005
307,19,CS,win_fractal.jpg,1,723,0.2438
307,19,US,win_fractal.jpg,1,767,0.2587
307,20,CS,win_fractal.jpg,1,0,0
307,20,US,win_fractal.jpg,1,0,0
307,21,CS,nowin_fractal.jpg,2,0,0
307,21,US,nowin_fractal.jpg,2,0,0
307,22,CS,win_fractal.jpg,2,0,0
307,22,US,win_fractal.jpg,2,0,0
307,23,CS,nowin_fractal.jpg,2,0,0
307,23,US,nowin_fractal.jpg,2,0,0
307,24,CS,nowin_fractal.jpg,2,0,0
307,24,US,nowin_fractal.jpg,2,71,0.0289
307,25,CS,win_fractal.jpg,2,0,0
307,25,US,win_fractal.jpg,2,0,0
307,26,CS,nowin_fractal.jpg,2,0,0
307,26,US,nowin_fractal.jpg,2,0,0
307,27,CS,nowin_fractal.jpg,2,0,0
307,27,US,nowin_fractal.jpg,2,0,0
307,28,CS,win_fractal.jpg,2,1205,0.4125
307,28,US,win_fractal.jpg,2,362,0.1239
307,29,CS,win_fractal.jpg,2,632,0.2022
307,29,US,win_fractal.jpg,2,0,0
307,30,CS,nowin_fractal.jpg,2,1734,0.5367
307,30,US,nowin_fractal.jpg,2,97,0.03
307,31,CS,win_fractal.jpg,2,0,0
307,31,US,win_fractal.jpg,2,0,0
307,32,CS,nowin_fractal.jpg,2,606,0.2204
307,32,US,nowin_fractal.jpg,2,1092,0.3972
307,33,CS,nowin_fractal.jpg,2,566,0.2038
307,33,US,nowin_fractal.jpg,2,386,0.139
307,34,CS,nowin_fractal.jpg,2,217,0.0729
307,34,US,nowin_fractal.jpg,2,502,0.1687
307,35,CS,win_fractal.jpg,2,0,0
307,35,US,win_fractal.jpg,2,382,0.1524
307,36,CS,nowin_fractal.jpg,2,1905,0.5709
307,36,US,nowin_fractal.jpg,2,558,0.1672
307,37,CS,win_fractal.jpg,2,1347,0.4814
307,37,US,win_fractal.jpg,2,574,0.2051
307,38,CS,win_fractal.jpg,2,1099,0.4225
307,38,US,win_fractal.jpg,2,566,0.2176
307,39,CS,win_fractal.jpg,2,1166,0.4279
307,39,US,win_fractal.jpg,2,810,0.2972
307,40,CS,win_fractal.jpg,2,2474,0.8308
307,40,US,win_fractal.jpg,2,323,0.1085
313,1,CS,nowin_fractal.jpg,1,2379,0.7053
313,1,US,nowin_fractal.jpg,1,426,0.1263
313,2,CS,nowin_fractal.jpg,1,3868,1
313,2,US,nowin_fractal.jpg,1,0,0
313,3,CS,win_fractal.jpg,1,3806,1
313,3,US,win_fractal.jpg,1,0,0
313,4,CS,win_fractal.jpg,1,3968,1
313,4,US,win_fractal.jpg,1,0,0
313,5,CS,nowin_fractal.jpg,1,3890,1
313,5,US,nowin_fractal.jpg,1,0,0
313,6,CS,nowin_fractal.jpg,1,3787,1
313,6,US,nowin_fractal.jpg,1,0,0
313,7,CS,nowin_fractal.jpg,1,3113,0.8705
313,7,US,nowin_fractal.jpg,1,0,0
313,8,CS,win_fractal.jpg,1,3717,1
313,8,US,win_fractal.jpg,1,0,0
313,9,CS,win_fractal.jpg,1,3530,1
313,9,US,win_fractal.jpg,1,0,0
313,10,CS,nowin_fractal.jpg,1,3652,1
313,10,US,nowin_fractal.jpg,1,0,0
313,11,CS,win_fractal.jpg,1,3483,1
313,11,US,win_fractal.jpg,1,0,0
313,12,CS,nowin_fractal.jpg,1,3749,1
313,12,US,nowin_fractal.jpg,1,0,0
313,13,CS,win_fractal.jpg,1,3598,1
313,13,US,win_fractal.jpg,1,0,0
313,14,CS,nowin_fractal.jpg,1,1693,0.6474
313,14,US,nowin_fractal.jpg,1,554,0.2119
313,15,CS,win_fractal.jpg,1,3259,0.8941
313,15,US,win_fractal.jpg,1,386,0.1059
313,16,CS,win_fractal.jpg,1,3922,1
313,16,US,win_fractal.jpg,1,0,0
313,17,CS,win_fractal.jpg,1,3922,1
313,17,US,win_fractal.jpg,1,0,0
313,18,CS,nowin_fractal.jpg,1,3751,1
313,18,US,nowin_fractal.jpg,1,0,0
313,19,CS,nowin_fractal.jpg,1,3945,1
313,19,US,nowin_fractal.jpg,1,0,0
313,20,CS,win_fractal.jpg,1,3897,1
313,20,US,win_fractal.jpg,1,0,0
313,21,CS,nowin_fractal.jpg,2,3920,1
313,21,US,nowin_fractal.jpg,2,0,0
313,22,CS,nowin_fractal.jpg,2,3908,1
313,22,US,nowin_fractal.jpg,2,0,0
313,23,CS,win_fractal.jpg,2,3765,1
313,23,US,win_fractal.jpg,2,0,0
313,24,CS,win_fractal.jpg,2,3774,1
313,24,US,win_fractal.jpg,2,0,0
313,25,CS,win_fractal.jpg,2,3752,1
313,25,US,win_fractal.jpg,2,0,0
313,26,CS,nowin_fractal.jpg,2,3456,0.9153
313,26,US,nowin_fractal.jpg,2,188,0.0498
313,27,CS,nowin_fractal.jpg,2,3680,1
313,27,US,nowin_fractal.jpg,2,0,0
313,28,CS,win_fractal.jpg,2,3673,1
313,28,US,win_fractal.jpg,2,0,0
313,29,CS,win_fractal.jpg,2,3688,1
313,29,US,win_fractal.jpg,2,0,0
313,30,CS,nowin_fractal.jpg,2,3454,0.9414
313,30,US,nowin_fractal.jpg,2,215,0.0586
313,31,CS,win_fractal.jpg,2,3898,1
313,31,US,win_fractal.jpg,2,0,0
